"2004/05/01","","Checking balance","Assets:Bank:Checking","$","1000","*",""
"2004/05/01","","Checking balance","Equity:Opening Balances","$","-1000","*",""
"2004/05/03","","Investment balance","Assets:Brokerage","AAPL","50","*",""
"2004/05/03","","Investment balance","Equity:Opening Balances","$","-1500","*",""
"2004/05/14","","Páy dày","Assets:Bank:Checking","€","500","*",""
"2004/05/14","","Páy dày","Income:Salary","€","-500","*",""
"2004/05/14","","Another dày in which there is Páying","Asséts:Bánk:Chécking:Asséts:Bánk:Chécking","$","500","*",""
"2004/05/14","","Another dày in which there is Páying","Income:Salary","$","-500","*",""
"2004/05/14","","Another dày in which there is Páying","Русский язык:Активы:Русский язык:Русский язык","$","1000","*",""
"2004/05/14","","Another dày in which there is Páying","Income:Salary","$","-1000","*",""
"2004/05/27","","Book Store","Expenses:Books","$","20","",""
"2004/05/27","","Book Store","Expenses:Cards","$","40","",""
"2004/05/27","","Book Store","Expenses:Docs","$","30","",""
"2004/05/27","","Book Store","Liabilities:MasterCard","$","-90","",""
"2004/05/27","","Book Store","(Liabilities:Taxes)","$","-2","",""
"2004/05/27","100","Credit card company","Liabilities:MasterCard","$","20",""," This is a posting note!\n Sample: Another Value\n :MyTag: This is an xact note!\n Sample: Value"
"2004/05/27","100","Credit card company","Assets:Bank:Checking","$","-20",""," :AnotherTag: This is an xact note!\n Sample: Value"
